epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1516.42,0.92016,0.61955,1.3461,0.97789,0.95311,0.98256,0.72927,0.97535,0.53916,1.38752,0.000207686,0.000207686,0.000207686
76,1537.01,0.90084,0.61605,1.34868,0.97206,0.96314,0.973,0.71245,1.0276,0.54869,1.40694,0.000193728,0.000193728,0.000193728
77,1557.96,0.91479,0.61592,1.3495,0.97441,0.95935,0.97452,0.71569,1.01114,0.54312,1.40909,0.000180201,0.000180201,0.000180201
78,1579.02,0.89359,0.62147,1.34887,0.97259,0.96341,0.97844,0.71218,1.03928,0.52627,1.41779,0.000167119,0.000167119,0.000167119
79,1599.81,0.90721,0.60896,1.34566,0.9622,0.97154,0.97852,0.7299,0.99997,0.52903,1.39468,0.000154495,0.000154495,0.000154495
80,1620.44,0.9114,0.60452,1.34622,0.96213,0.95122,0.97752,0.72899,0.99294,0.52907,1.37884,0.000142342,0.000142342,0.000142342
81,1641.21,0.89327,0.59116,1.34186,0.97537,0.95431,0.97888,0.73463,0.98117,0.51794,1.36578,0.000130671,0.000130671,0.000130671
82,1662.28,0.88569,0.60783,1.3374,0.9713,0.95528,0.97385,0.72627,1.00389,0.5266,1.39131,0.000119494,0.000119494,0.000119494
83,1683.01,0.86863,0.58248,1.32736,0.97929,0.95515,0.97477,0.72305,1.00936,0.5259,1.37962,0.000108822,0.000108822,0.000108822
84,1703.89,0.88526,0.60594,1.339,0.97984,0.95528,0.97377,0.72013,1.01424,0.52482,1.39008,9.86659e-05,9.86659e-05,9.86659e-05
85,1724.98,0.89301,0.60072,1.34333,0.97481,0.95122,0.97696,0.73385,0.98186,0.51295,1.37449,8.90352e-05,8.90352e-05,8.90352e-05
86,1744.55,0.86949,0.59335,1.33134,0.9823,0.9504,0.97149,0.73707,0.97513,0.52043,1.35884,7.99397e-05,7.99397e-05,7.99397e-05
87,1764.31,0.87037,0.57773,1.3235,0.98157,0.95528,0.97875,0.72242,1.00221,0.53162,1.39155,7.13883e-05,7.13883e-05,7.13883e-05
88,1786.11,0.89207,0.60552,1.33931,0.98797,0.95468,0.98434,0.72417,1.01872,0.52935,1.39909,6.33893e-05,6.33893e-05,6.33893e-05
89,1805.37,0.90802,0.60752,1.34226,0.98395,0.95587,0.98507,0.7283,0.99587,0.52305,1.37511,5.59508e-05,5.59508e-05,5.59508e-05
90,1826.68,0.84614,0.5788,1.31552,0.96323,0.96341,0.98044,0.72945,0.99643,0.51619,1.37777,4.908e-05,4.908e-05,4.908e-05
91,1867.7,0.74114,0.47983,1.29711,0.96711,0.95726,0.97927,0.72351,0.98651,0.53826,1.39046,4.27838e-05,4.27838e-05,4.27838e-05
92,1887.55,0.72378,0.46336,1.28756,0.98341,0.94715,0.97771,0.73265,0.9674,0.52827,1.37075,3.70683e-05,3.70683e-05,3.70683e-05
93,1907.59,0.7287,0.45554,1.2857,0.98297,0.9439,0.97725,0.74374,0.94959,0.52403,1.35004,3.19392e-05,3.19392e-05,3.19392e-05
94,1927.64,0.73735,0.45645,1.29402,0.98129,0.94715,0.97364,0.73722,0.96361,0.51755,1.36141,2.74015e-05,2.74015e-05,2.74015e-05
95,1948.04,0.741,0.44747,1.28845,0.9798,0.94715,0.97769,0.7357,0.97043,0.51717,1.37004,2.34598e-05,2.34598e-05,2.34598e-05
96,1967.83,0.72585,0.44492,1.29476,0.98305,0.94715,0.97725,0.74187,0.95448,0.51607,1.35224,2.01178e-05,2.01178e-05,2.01178e-05
97,1987.86,0.71773,0.43687,1.2736,0.98432,0.94715,0.97734,0.73743,0.95427,0.51604,1.35332,1.7379e-05,1.7379e-05,1.7379e-05
98,2008,0.7267,0.44115,1.29632,0.98493,0.94715,0.97731,0.73511,0.95959,0.51596,1.35701,1.5246e-05,1.5246e-05,1.5246e-05
99,2028.01,0.72373,0.4446,1.27857,0.98318,0.94739,0.977,0.74205,0.95664,0.51708,1.35286,1.3721e-05,1.3721e-05,1.3721e-05
100,2048.04,0.72244,0.44252,1.27202,0.98344,0.95126,0.97783,0.73628,0.96368,0.51391,1.35775,1.28053e-05,1.28053e-05,1.28053e-05
